date,weekly,weight,des,channel_code,platform_shop_name,supply_channel_code,supply_channel_name,discount,total_fee,total_original_fee,zh_name,weight_strategy,platform,order_no,currency,分组,标签
2022-01-22,202204,0.619,FR,CNE全球优先,,快捷_FRFTL6A,快捷_FRFTL6A,,72.5915,,坐垫,K8,WISH,6A21582523848,CNY,"(0.453, 1.1]",0.454-1.1KG
2022-01-22,202204,0.532,RO,CNE全球特惠,,特惠_EUDHL,特惠_EUDHL,,66.284,,脚垫,K8,WISH,CR610860840DE,CNY,"(0.453, 1.1]",0.454-1.1KG
2022-01-22,202204,0.785,SE,CNE全球特惠,,特惠_SEMTD,特惠_SEMTD,,89.79,,塑料猫碗,K8,WISH,3A5V599254523,CNY,"(0.453, 1.1]",0.454-1.1KG
2022-01-22,202204,0.654,FR,CNE全球优先,,快捷_FRFTL6A,快捷_FRFTL6A,,75.339,,睡袋,K8,WISH,6A21582647452,CNY,"(0.453, 1.1]",0.454-1.1KG
2022-01-22,202204,0.49,FR,CNE全球优先,,快捷_FRFTL6A,快捷_FRFTL6A,,62.465,,爬行垫,K8,WISH,6A21582605841,CNY,"(0.453, 1.1]",0.454-1.1KG
2022-01-23,202204,0.751,PL,CNE全球特惠,,特惠_PLDHL,特惠_PLDHL,,77.582,,棉制男士束脚裤,K8,WISH,24594950682,CNY,"(0.453, 1.1]",0.454-1.1KG
2022-01-23,202204,0.567,GB,CNE全球优先,,优先_GBHERMES,优先_GBHERMES,,63.4785,,橡胶玩具,K8,WISH,T00D7A0097674182,CNY,"(0.453, 1.1]",0.454-1.1KG
2022-01-23,202204,0.59,FR,CNE全球优先,,快捷_FRFTL6A,快捷_FRFTL6A,,70.315,,陶瓷马克杯,K8,WISH,6A21582599935,CNY,"(0.453, 1.1]",0.454-1.1KG
2022-01-23,202204,0.821,GB,CNE全球优先,,优先_GBHERMES,优先_GBHERMES,,85.1955,,磨牙棒,K8,WISH,T00D7A0097895584,CNY,"(0.453, 1.1]",0.454-1.1KG
2022-01-23,202204,0.486,GB,CNE全球优先,,优先_GBHERMES,优先_GBHERMES,,56.553,,树脂工艺品,K8,WISH,T00D7A0097953449,CNY,"(0.453, 1.1]",0.454-1.1KG
2022-01-23,202204,0.462,GB,CNE全球优先,,优先_GBHERMES,优先_GBHERMES,,54.501,,铁皮画,K8,WISH,T00D7A0097575120,CNY,"(0.453, 1.1]",0.454-1.1KG
2022-01-23,202204,0.717,HU,CNE全球特惠,,特惠_HUDPD,特惠_HUDPD,,81.662,,棉制男士束脚裤,K8,WISH,3A5V598873416,CNY,"(0.453, 1.1]",0.454-1.1KG
2022-01-23,202204,0.654,FR,CNE全球优先,,快捷_FRFTL6A,快捷_FRFTL6A,,75.339,,硅藻泥地垫,K8,WISH,6A21582634834,CNY,"(0.453, 1.1]",0.454-1.1KG
2022-01-23,202204,0.464,FR,CNE全球优先,,快捷_FRFTL6A,快捷_FRFTL6A,,60.424,,棉地毯,K8,WISH,6A21582580247,CNY,"(0.453, 1.1]",0.454-1.1KG
2022-01-23,202204,0.719,SE,CNE全球特惠,,特惠_SEMTD,特惠_SEMTD,,83.586,,游戏机,K8,WISH,3A5V599345720,CNY,"(0.453, 1.1]",0.454-1.1KG
2022-01-27,202205,0.49,FR,CNE全球优先,,快捷_FRFTL6A,快捷_FRFTL6A,,62.465,,毛毯,W,WISH,6A21582755942,CNY,"(0.453, 1.1]",0.454-1.1KG
2022-01-27,202205,0.957,ES,CNE全球优先,,优先_ESTIPSA,优先_ESTIPSA,,136.2,,运动鞋,K8,WISH,3A5V599918072,CNY,"(0.453, 1.1]",0.454-1.1KG
2022-01-27,202205,0.604,FR,CNE全球优先,,快捷_FRFTL6A,快捷_FRFTL6A,,71.414,,坐垫,W0,WISH,6A21582684822,CNY,"(0.453, 1.1]",0.454-1.1KG
2022-01-27,202205,0.739,RO,CNE全球特惠,,特惠_RODPD,特惠_RODPD,,84.293,,树脂摆件,W0,WISH,3A5V599653177,CNY,"(0.453, 1.1]",0.454-1.1KG
2022-01-27,202205,0.478,FR,CNE全球优先,,快捷_FRFTL6A,快捷_FRFTL6A,,61.523,,毛毯,W,WISH,6A21582755959,CNY,"(0.453, 1.1]",0.454-1.1KG
2022-01-25,202205,0.608,FR,CNE全球优先,,快捷_FRFTL6A,快捷_FRFTL6A,,71.728,,坐垫,W0,WISH,6A21582629731,CNY,"(0.453, 1.1]",0.454-1.1KG
2022-01-25,202205,0.611,FR,CNE全球优先,,快捷_FRFTL6A,快捷_FRFTL6A,,71.9635,,坐垫,W0,WISH,6A21582577209,CNY,"(0.453, 1.1]",0.454-1.1KG
2022-01-25,202205,0.607,FR,CNE全球优先,,快捷_FRFTL6A,快捷_FRFTL6A,,71.6495,,坐垫,W0,WISH,6A21582629779,CNY,"(0.453, 1.1]",0.454-1.1KG
2022-01-25,202205,0.612,FR,CNE全球优先,,快捷_FRFTL6A,快捷_FRFTL6A,,72.042,,坐垫,W0,WISH,6A21582660505,CNY,"(0.453, 1.1]",0.454-1.1KG
2022-01-25,202205,0.61,FR,CNE全球优先,,快捷_FRFTL6A,快捷_FRFTL6A,,71.885,,坐垫,W0,WISH,6A21582654641,CNY,"(0.453, 1.1]",0.454-1.1KG
2022-01-26,202205,0.567,IT,CNE全球优先,,优先_WITGLS,优先_WITGLS,,68.9425,,发热腰带,W0,WISH,WW620028984,CNY,"(0.453, 1.1]",0.454-1.1KG
